hvfhs_license_num,dispatching_base_num,originating_base_num,request_datetime,on_scene_datetime,pickup_datetime,dropoff_datetime,PULocationID,DOLocationID,trip_miles,trip_time,base_passenger_fare,tolls,bcf,sales_tax,congestion_surcharge,airport_fee,tips,driver_pay,shared_request_flag,shared_match_flag,access_a_ride_flag,wav_request_flag,wav_match_flag,cbd_congestion_fee
HV0003,B03404,B03404,2025-03-22 16:04:24,2025-03-22 16:04:55,2025-03-22 16:05:01,2025-03-22 16:29:54,162,160,8.48,1494,42.61,0.0,1.06,3.9,2.75,0.0,7.76,27.06,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-23 17:30:19,2025-03-23 17:32:07,2025-03-23 17:33:07,2025-03-23 17:52:44,10,258,3.12,1178,19.44,0.0,0.48,1.73,0.0,0.0,0.0,16.29,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-17 16:30:58,2025-03-17 16:35:03,2025-03-17 16:35:44,2025-03-17 16:51:07,49,97,1.78,924,21.48,0.0,0.53,1.89,0.0,0.0,3.0,11.83,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-20 18:08:51,2025-03-20 18:11:57,2025-03-20 18:12:04,2025-03-20 18:16:31,238,239,0.76,267,13.27,0.0,0.33,1.17,2.75,0.0,0.0,6.68,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-04 22:09:34,2025-03-04 22:15:37,2025-03-04 22:16:05,2025-03-04 22:34:44,74,167,3.29,1120,19.7,0.0,0.5,1.75,0.0,0.0,0.0,17.95,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-15 11:45:40,2025-03-15 11:48:55,2025-03-15 11:50:56,2025-03-15 11:59:19,89,85,1.14,504,12.72,0.0,0.32,1.13,0.0,0.0,0.0,7.73,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-03-01 02:18:35,2025-03-01 02:19:20,2025-03-01 02:22:03,2025-03-01 02:37:04,148,249,2.19,902,31.9,0.0,0.76,2.83,2.75,0.0,0.0,20.97,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-22 22:56:04,2025-03-22 23:02:44,2025-03-22 23:03:28,2025-03-22 23:09:27,42,41,0.79,359,9.26,0.0,0.23,0.81,0.0,0.0,1.0,4.73,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-24 13:03:18,2025-03-24 13:06:39,2025-03-24 13:06:51,2025-03-24 13:12:05,72,72,0.55,314,8.98,0.0,0.22,0.79,0.0,0.0,0.0,5.25,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-03-28 15:00:46,2025-03-28 15:03:53,2025-03-28 15:04:30,2025-03-28 15:14:34,165,91,1.04,603,12.49,0.0,0.31,1.11,0.0,0.0,0.0,8.74,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-03-31 16:29:51,2025-03-31 16:41:56,2025-03-31 16:42:05,2025-03-31 16:56:05,186,230,1.85,840,37.84,0.0,0.9,3.3,2.75,0.0,0.0,27.58,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-28 14:36:42,2025-03-28 14:36:50,2025-03-28 14:37:55,2025-03-28 15:44:57,132,255,15.45,4022,73.1,0.0,1.81,6.64,0.0,2.5,0.0,62.38,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-20 19:31:51,2025-03-20 19:34:10,2025-03-20 19:34:18,2025-03-20 20:16:18,232,129,8.38,2520,38.65,0.0,0.93,3.43,2.75,0.0,0.0,39.25,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-24 18:25:38,2025-03-24 18:27:16,2025-03-24 18:29:17,2025-03-24 19:18:14,42,132,18.31,2937,79.3,6.94,1.99,7.87,0.0,2.5,0.0,55.51,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-16 05:01:29,2025-03-16 05:04:18,2025-03-16 05:06:08,2025-03-16 05:26:48,235,192,14.73,1240,35.68,6.94,0.89,3.79,0.0,0.0,0.0,37.33,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-16 21:23:51,2025-03-16 21:28:04,2025-03-16 21:28:12,2025-03-16 21:35:41,37,198,1.53,449,10.11,0.0,0.27,0.95,0.0,0.0,0.0,6.69,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-30 04:57:45,2025-03-30 05:04:58,2025-03-30 05:05:18,2025-03-30 05:12:34,157,80,1.89,436,30.41,0.0,0.76,2.68,0.0,0.0,0.0,18.94,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-30 20:10:59,2025-03-30 20:24:44,2025-03-30 20:26:17,2025-03-30 20:35:14,3,185,1.44,538,11.13,0.0,0.28,0.98,0.0,0.0,0.0,7.45,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-09 11:21:38,2025-03-09 11:23:31,2025-03-09 11:24:32,2025-03-09 12:01:17,132,244,21.88,2205,59.95,6.94,1.51,6.17,0.0,2.5,7.69,53.16,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-11 14:51:14,2025-03-11 14:54:46,2025-03-11 14:55:17,2025-03-11 15:13:18,60,242,2.63,1080,19.74,0.0,0.49,1.75,0.0,0.0,0.0,14.85,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-28 23:03:33,2025-03-28 23:05:46,2025-03-28 23:07:10,2025-03-28 23:26:16,261,48,5.03,1147,37.04,0.0,0.89,3.28,2.75,0.0,0.0,18.7,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-05 14:32:18,2025-03-05 14:35:59,2025-03-05 14:36:17,2025-03-05 14:43:46,126,147,1.07,449,8.9,0.0,0.22,0.78,0.0,0.0,0.0,6.03,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-04 14:01:03,2025-03-04 14:07:56,2025-03-04 14:08:44,2025-03-04 14:59:08,165,132,16.38,3024,56.09,0.0,1.49,5.51,0.0,2.5,0.0,54.42,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-18 10:54:29,2025-03-18 10:57:19,2025-03-18 10:59:19,2025-03-18 11:09:04,116,42,2.25,585,13.5,0.0,0.36,1.28,0.0,0.0,1.0,9.08,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-03 18:45:43,2025-03-03 18:48:03,2025-03-03 18:48:54,2025-03-03 18:54:21,139,219,0.96,326,8.91,0.0,0.22,0.78,0.0,0.0,1.0,4.64,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-17 08:16:05,2025-03-17 08:22:26,2025-03-17 08:23:21,2025-03-17 08:47:01,143,163,1.72,1420,33.39,0.0,0.79,2.95,2.75,0.0,0.0,16.75,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-31 08:01:30,2025-03-31 08:03:35,2025-03-31 08:03:42,2025-03-31 08:10:03,183,51,2.83,381,14.34,0.0,0.35,1.28,0.0,0.0,3.0,7.83,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-31 03:17:27,2025-03-31 03:23:06,2025-03-31 03:25:07,2025-03-31 03:52:32,223,61,14.27,1646,48.73,0.0,1.21,4.3,0.0,0.0,0.0,36.78,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-08 04:50:44,2025-03-08 04:58:19,2025-03-08 04:58:55,2025-03-08 05:05:23,218,132,2.2,389,11.01,0.0,0.27,1.21,0.0,2.5,0.0,7.03,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-14 08:47:30,2025-03-14 08:49:59,2025-03-14 08:50:39,2025-03-14 09:31:28,164,132,16.92,2450,87.12,6.94,2.15,8.57,2.75,2.5,16.5,48.63,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-05 20:52:41,2025-03-05 20:55:05,2025-03-05 20:56:09,2025-03-05 21:24:33,180,188,6.55,1704,34.95,0.0,0.87,3.11,0.0,0.0,0.0,29.16,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-03-06 15:44:52,2025-03-06 15:52:02,2025-03-06 15:53:58,2025-03-06 16:07:10,78,169,1.92,792,17.05,0.0,0.42,1.51,0.0,0.0,0.0,10.71,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-10 17:05:01,2025-03-10 17:05:32,2025-03-10 17:07:33,2025-03-10 17:18:19,143,142,0.77,647,14.31,0.0,0.32,1.26,2.75,0.0,5.0,7.6,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-16 15:11:26,2025-03-16 15:14:48,2025-03-16 15:15:25,2025-03-16 15:44:48,97,70,10.07,1763,34.51,0.0,0.87,3.07,0.0,0.0,0.0,32.47,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-15 19:45:53,2025-03-15 19:54:37,2025-03-15 19:54:49,2025-03-15 20:06:05,241,265,4.99,676,21.54,0.0,0.54,1.91,0.0,0.0,2.39,14.98,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-25 16:16:38,2025-03-25 16:17:24,2025-03-25 16:17:24,2025-03-25 16:37:16,151,161,4.7,1192,36.11,0.0,0.87,3.19,2.75,0.0,0.0,18.67,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-03 21:24:52,2025-03-03 21:27:48,2025-03-03 21:29:48,2025-03-03 21:47:02,159,212,5.47,1033,21.3,0.0,0.53,1.88,0.0,0.0,3.55,18.14,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-10 18:46:48,2025-03-10 18:52:21,2025-03-10 18:52:51,2025-03-10 19:00:19,13,231,1.3,448,38.24,0.0,0.92,3.39,2.75,0.0,6.79,20.09,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-23 14:14:48,2025-03-23 14:17:43,2025-03-23 14:18:57,2025-03-23 14:50:16,61,26,5.34,1879,30.46,0.0,0.76,2.7,0.0,0.0,0.0,26.5,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-20 08:27:10,2025-03-20 08:29:41,2025-03-20 08:30:21,2025-03-20 08:57:08,168,166,3.05,1607,25.36,0.0,0.63,2.26,0.0,0.0,4.24,20.52,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-05 16:40:49,2025-03-05 16:47:34,2025-03-05 16:47:50,2025-03-05 16:54:38,143,142,0.78,408,11.87,0.0,0.3,1.04,2.75,0.0,0.0,7.25,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-03-14 18:45:17,2025-03-14 18:52:05,2025-03-14 18:52:40,2025-03-14 19:43:27,137,132,15.99,3047,65.22,6.94,1.59,6.63,2.75,2.5,0.0,54.34,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-07 19:18:35,2025-03-07 19:23:51,2025-03-07 19:24:25,2025-03-07 19:31:02,162,141,0.92,396,16.0,0.0,0.36,1.42,2.75,0.0,0.0,7.29,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-17 11:29:45,2025-03-17 11:35:30,2025-03-17 11:36:11,2025-03-17 12:23:26,138,230,16.55,2835,82.69,6.94,2.03,8.17,2.75,2.5,0.0,51.99,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-26 07:51:23,2025-03-26 08:05:06,2025-03-26 08:05:38,2025-03-26 08:20:20,258,76,1.95,882,15.21,0.0,0.38,1.35,0.0,0.0,0.0,13.29,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-07 12:25:23,2025-03-07 12:29:50,2025-03-07 12:30:51,2025-03-07 12:56:35,112,138,8.06,1543,41.19,0.0,1.04,3.9,0.0,2.5,0.0,26.96,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-18 08:19:31,2025-03-18 08:21:21,2025-03-18 08:22:23,2025-03-18 08:50:13,249,162,2.95,1671,30.73,0.0,0.73,2.72,2.75,0.0,0.0,21.01,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-22 14:39:46,2025-03-22 14:42:40,2025-03-22 14:42:45,2025-03-22 14:59:39,65,255,3.54,1013,23.28,0.0,0.59,2.07,0.0,0.0,0.0,15.22,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-03 16:37:37,2025-03-03 16:43:02,2025-03-03 16:43:02,2025-03-03 16:47:29,149,210,0.98,267,7.44,0.0,0.2,0.71,0.0,0.0,0.0,4.08,Y,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-15 21:50:25,2025-03-15 21:52:21,2025-03-15 21:53:08,2025-03-15 22:14:31,231,50,4.22,1283,28.9,0.0,0.69,2.57,2.75,0.0,8.0,25.6,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-25 14:24:48,2025-03-25 14:29:49,2025-03-25 14:30:16,2025-03-25 14:55:42,60,159,3.51,1527,22.49,0.0,0.57,1.99,0.0,0.0,0.0,20.35,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-19 07:24:58,2025-03-19 07:25:12,2025-03-19 07:30:13,2025-03-19 08:10:38,161,138,10.2,2425,94.95,6.94,2.34,9.26,2.75,2.5,22.86,53.43,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-09 03:34:08,2025-03-09 03:36:27,2025-03-09 03:36:58,2025-03-09 04:10:46,61,212,18.1,2028,46.85,6.94,1.17,4.77,0.0,0.0,0.0,46.05,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-19 20:14:12,2025-03-19 20:16:50,2025-03-19 20:17:23,2025-03-19 20:35:09,227,14,3.2,1066,19.75,0.0,0.49,1.75,0.0,0.0,0.0,15.26,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-26 09:49:05,2025-03-26 09:50:00,2025-03-26 09:50:24,2025-03-26 09:58:13,242,208,1.53,469,13.46,0.0,0.33,1.18,0.0,0.0,3.0,6.88,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-26 19:06:59,2025-03-26 19:11:14,2025-03-26 19:11:14,2025-03-26 19:42:15,15,144,15.99,1860,72.93,0.0,1.88,6.8,2.75,0.0,0.0,41.37,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-03 18:10:00,2025-03-03 18:16:24,2025-03-03 18:16:48,2025-03-03 18:49:31,181,255,5.27,1964,42.95,0.0,1.08,3.81,0.0,0.0,0.0,27.25,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-21 16:57:43,2025-03-21 17:01:12,2025-03-21 17:01:35,2025-03-21 17:14:14,186,170,1.24,759,17.29,0.0,0.39,1.52,2.75,0.0,0.0,9.41,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-18 14:02:38,2025-03-18 14:03:36,2025-03-18 14:04:01,2025-03-18 14:33:30,193,100,3.87,1769,35.18,13.88,0.85,4.35,2.75,0.0,0.0,23.31,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-07 19:30:13,2025-03-07 19:38:42,2025-03-07 19:38:58,2025-03-07 19:55:59,61,190,2.39,1021,19.73,0.0,0.49,1.75,0.0,0.0,3.29,15.43,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-23 05:05:00,2025-03-23 05:10:32,2025-03-23 05:10:52,2025-03-23 05:16:38,255,80,1.15,346,11.61,0.0,0.29,1.02,0.0,0.0,0.0,6.11,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-22 00:03:24,2025-03-22 00:06:22,2025-03-22 00:06:40,2025-03-22 00:22:16,163,145,3.65,936,26.24,0.0,0.62,2.33,2.75,0.0,4.79,17.82,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-05 18:29:03,2025-03-05 18:34:12,2025-03-05 18:39:12,2025-03-05 18:55:37,234,186,1.21,985,77.76,0.0,2.01,7.28,2.75,0.0,0.0,41.15,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-19 19:15:30,2025-03-19 19:16:54,2025-03-19 19:17:08,2025-03-19 19:27:34,244,243,1.6,626,12.67,0.0,0.31,1.09,0.0,0.0,0.0,8.59,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-15 10:05:32,2025-03-15 10:06:16,2025-03-15 10:06:51,2025-03-15 10:43:20,132,162,19.84,2189,76.83,6.94,1.88,7.65,2.75,2.5,9.85,50.13,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-23 06:14:06,2025-03-23 06:16:55,2025-03-23 06:18:55,2025-03-23 06:45:20,63,218,8.41,1585,36.67,0.0,0.88,3.12,0.0,0.0,0.0,27.88,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-03 20:18:43,2025-03-03 20:22:08,2025-03-03 20:23:12,2025-03-03 20:31:04,215,10,1.84,472,9.35,0.0,0.23,0.82,0.0,0.0,0.0,7.36,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-04 11:02:16,2025-03-04 11:03:21,2025-03-04 11:04:47,2025-03-04 11:19:21,159,60,2.26,873,14.33,0.0,0.35,1.28,0.0,0.0,0.0,13.73,N,N,N,N,Y,0.0
HV0003,B03404,B03404,2025-03-04 18:13:15,2025-03-04 18:23:59,2025-03-04 18:24:23,2025-03-04 18:49:41,181,37,5.25,1517,25.04,0.0,0.63,2.21,0.0,0.0,0.0,23.98,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-30 01:25:52,2025-03-30 01:27:20,2025-03-30 01:29:20,2025-03-30 01:48:18,168,60,4.07,1138,26.4,0.0,0.71,2.48,0.0,0.0,0.0,17.23,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-13 00:04:53,2025-03-13 00:09:26,2025-03-13 00:09:46,2025-03-13 00:26:59,140,125,8.7,1033,43.3,0.0,1.04,3.84,2.75,0.0,0.0,26.32,N,N,N,N,Y,1.5
HV0003,B03404,B03404,2025-03-29 16:44:11,2025-03-29 16:47:02,2025-03-29 16:48:11,2025-03-29 17:34:28,138,142,10.01,2777,58.49,0.0,1.43,5.42,2.75,2.5,0.0,42.15,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-06 23:36:27,2025-03-06 23:46:39,2025-03-06 23:48:41,2025-03-07 00:16:54,138,164,8.49,1693,74.8,6.94,1.83,7.47,2.75,2.5,0.0,43.81,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-01 10:41:35,2025-03-01 10:43:16,2025-03-01 10:43:27,2025-03-01 11:08:24,228,189,6.28,1498,34.22,0.0,0.86,3.04,0.0,0.0,0.0,23.98,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-30 00:24:15,2025-03-30 00:44:15,2025-03-30 00:44:48,2025-03-30 01:17:51,84,206,14.71,1983,45.09,0.0,1.14,4.03,0.0,0.0,0.0,49.62,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-29 23:22:03,2025-03-29 23:30:28,2025-03-29 23:31:29,2025-03-29 23:49:15,191,101,6.73,1066,19.39,0.0,0.48,1.73,0.0,0.0,0.0,20.27,Y,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-30 15:34:35,2025-03-30 15:40:58,2025-03-30 15:41:11,2025-03-30 15:48:49,70,192,3.27,458,19.69,0.0,0.5,1.75,0.0,0.0,0.0,9.84,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-07 11:31:06,2025-03-07 11:32:21,2025-03-07 11:34:21,2025-03-07 12:12:55,37,65,5.5,2313,29.66,0.0,0.74,2.62,0.0,0.0,0.0,31.1,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-01 12:47:29,2025-03-01 12:47:57,2025-03-01 12:49:57,2025-03-01 13:03:04,114,232,1.39,787,16.14,0.0,0.37,1.44,2.75,0.0,0.0,9.88,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-31 09:33:18,2025-03-31 09:36:52,2025-03-31 09:37:00,2025-03-31 09:48:23,160,196,3.15,683,14.41,0.0,0.33,1.2,0.0,0.0,1.0,11.34,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-04 08:06:12,2025-03-04 08:09:58,2025-03-04 08:11:59,2025-03-04 08:40:19,188,87,7.04,1700,36.6,6.94,0.88,3.86,2.75,0.0,0.0,27.08,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-30 13:04:43,2025-03-30 13:09:44,2025-03-30 13:10:22,2025-03-30 13:45:49,28,145,11.31,2127,48.45,0.0,1.21,4.3,0.0,0.0,0.0,37.44,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-11 08:50:28,2025-03-11 08:52:01,2025-03-11 08:52:13,2025-03-11 08:58:30,220,200,1.17,377,8.96,0.0,0.22,0.79,0.0,0.0,0.0,5.69,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-28 11:29:09,2025-03-28 11:31:06,2025-03-28 11:33:07,2025-03-28 11:41:16,112,145,1.43,489,12.73,0.0,0.32,1.13,0.0,0.0,1.0,6.95,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-10 20:11:22,2025-03-10 20:13:46,2025-03-10 20:15:18,2025-03-10 20:28:24,182,167,2.37,786,14.35,0.0,0.36,1.28,0.0,0.0,0.0,11.28,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-01 14:03:32,2025-03-01 14:04:58,2025-03-01 14:05:31,2025-03-01 14:13:06,226,145,0.98,456,10.72,0.0,0.27,0.95,0.0,0.0,0.0,5.98,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-18 13:24:28,2025-03-18 13:27:00,2025-03-18 13:27:28,2025-03-18 13:58:08,117,265,7.56,1840,32.3,0.0,0.81,2.86,0.0,0.0,0.0,31.11,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-11 08:46:12,2025-03-11 08:51:12,2025-03-11 08:52:42,2025-03-11 08:59:57,89,188,1.14,435,11.86,0.0,0.29,1.04,0.0,0.0,0.0,5.99,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-17 10:13:20,2025-03-17 10:15:01,2025-03-17 10:16:01,2025-03-17 10:18:47,191,191,0.7,166,7.98,0.0,0.2,0.71,0.0,0.0,0.0,4.01,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-16 12:17:17,2025-03-16 12:19:14,2025-03-16 12:19:14,2025-03-16 12:25:26,38,191,1.62,371,11.59,0.0,0.29,1.02,0.0,0.0,0.0,6.03,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-10 09:04:22,2025-03-10 09:09:29,2025-03-10 09:09:29,2025-03-10 09:32:06,246,244,7.35,1356,29.86,0.0,0.71,2.65,2.75,0.0,3.59,24.07,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-08 11:18:19,2025-03-08 11:23:57,2025-03-08 11:23:57,2025-03-08 11:38:21,174,254,2.06,865,13.44,0.0,0.35,1.27,0.0,0.0,0.0,11.63,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-28 10:36:04,2025-03-28 10:37:23,2025-03-28 10:38:18,2025-03-28 10:55:41,259,242,4.94,1044,23.74,0.0,0.58,2.05,0.0,0.0,0.0,17.5,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-01 14:41:13,2025-03-01 14:45:47,2025-03-01 14:47:48,2025-03-01 15:07:17,15,265,8.08,1169,26.71,0.0,0.71,2.52,0.0,0.0,0.0,25.68,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-21 12:00:14,2025-03-21 12:05:01,2025-03-21 12:07:02,2025-03-21 12:37:04,93,205,8.02,1802,38.08,0.0,0.95,3.38,0.0,0.0,0.0,29.52,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-04 20:57:08,2025-03-04 21:00:57,2025-03-04 21:01:24,2025-03-04 21:15:47,198,102,2.85,863,16.75,0.0,0.44,1.59,0.0,0.0,0.0,12.72,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-20 23:43:38,2025-03-20 23:48:48,2025-03-20 23:49:10,2025-03-21 00:24:22,88,225,9.47,2112,54.35,0.0,1.4,5.12,2.75,0.0,0.0,34.67,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-02 14:09:58,2025-03-02 14:13:03,2025-03-02 14:13:16,2025-03-02 14:25:25,166,238,2.08,729,14.54,0.0,0.36,1.29,2.75,0.0,0.0,10.29,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-15 08:29:56,2025-03-15 08:32:35,2025-03-15 08:33:50,2025-03-15 08:48:12,136,243,2.22,862,15.22,0.0,0.38,1.36,0.0,0.0,0.0,12.12,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-30 04:01:29,2025-03-30 04:05:37,2025-03-30 04:07:24,2025-03-30 04:33:23,79,28,13.15,1560,64.42,6.94,1.62,6.45,2.75,0.0,0.0,40.72,N,N,N,N,N,1.5
HV0003,B03404,B03404,2025-03-09 12:26:21,2025-03-09 12:31:53,2025-03-09 12:32:02,2025-03-09 12:35:59,74,194,1.29,237,8.0,6.94,0.2,1.32,0.0,0.0,0.0,4.2,N,N,N,N,N,0.0
HV0003,B03404,B03404,2025-03-29 15:37:19,2025-03-29 15:39:28,2025-03-29 15:40:10,2025-03-29 15:52:15,144,249,1.35,725,19.07,0.0,0.44,1.68,2.75,0.0,0.0,9.22,N,N,N,N,N,1.5
